Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
300 Chickasaw Rd,Chattanooga,TN,37411,10/10/2023 09:31:00 PM,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-110360,3,Pending/Possible Leads,35.023262,-85.231715,POINT (-85.231715 35.023262),5
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/10/2023 08:45:00 PM,TN0330100,C8,Charlie N,23H,All Other Larceny,Part 1 Crimes,23-110347,3,Pending/Possible Leads,35.023610999999995,-85.158158,POINT (-85.158158 35.023611),4
8600 Ooltewah Harrison Rd,Chattanooga,TN,37363,10/10/2023 08:32:00 PM,TN0330100,C9,Charlie N,23H,All Other Larceny,Part 1 Crimes,23-110268,3,Pending/Possible Leads,35.085242,-85.081417,POINT (-85.081417 35.085242),6
2000 Hamilton Place Blvd,Chattanooga,TN,37421,10/10/2023 08:30:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110338,2,Cleared by Arrest,35.029993,-85.15920600000001,POINT (-85.159206 35.029993),4
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/10/2023 07:40:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110320,2,Cleared by Arrest,35.029176,-85.15312100000001,POINT (-85.153121 35.029176),4
2200 Hamilton Place Blvd,Chattanooga,TN,37421,10/10/2023 07:02:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110314,3,Pending/Possible Leads,35.037914,-85.153962,POINT (-85.153962 35.037914),4
3200 Rossville Blvd,Chattanooga,TN,37407,10/10/2023 07:00:00 PM,TN0330100,B7,Baker S,23C,Shoplifting,Part 1 Crimes,23-110307,3,Pending/Possible Leads,35.005334,-85.294382,POINT (-85.294382 35.005334),7
7400 Commons Blvd,Chattanooga,TN,37421,10/10/2023 04:25:00 PM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110246,3,Pending/Possible Leads,35.035616,-85.147611,POINT (-85.147611 35.035616),4
3000 Towerway Dr,Chattanooga,TN,37404,10/10/2023 03:30:00 PM,TN0330100,C1,Charlie S,23H,All Other Larceny,Part 1 Crimes,23-110222,3,Pending/Possible Leads,35.067782,-85.233623,POINT (-85.233623 35.067782),5
400 Greenway View Dr,Chattanooga,TN,37411,10/10/2023 03:15:00 PM,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,23-110215,2,Cleared by Arrest,35.008074,-85.204751,POINT (-85.204751 35.008074),6
6200 Airpark Dr,Chattanooga,TN,37421,10/10/2023 02:17:00 PM,TN0330100,C4,Charlie S,23H,All Other Larceny,Part 1 Crimes,23-110198,3,Pending/Possible Leads,35.034237,-85.18576900000001,POINT (-85.185769 35.034237),6
3800 Hixson Pike,Chattanooga,TN,37415,10/10/2023 02:00:00 PM,TN0330100,A3,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110144,3,Pending/Possible Leads,35.111219000000006,-85.270173,POINT (-85.270173 35.111219),2
3200 14th Ave,Chattanooga,TN,37407,10/10/2023 01:53:00 PM,TN0330100,B8,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-110175,3,Pending/Possible Leads,35.001579,-85.27821,POINT (-85.27821 35.001579),7
400 Tunnel Blvd,Chattanooga,TN,37411,10/10/2023 12:08:00 PM,TN0330100,C2,Charlie S,240,Motor Vehicle Theft,Part 1 Crimes,23-110151,4,Inactive/Suspended,35.032846,-85.243105,POINT (-85.243105 35.032846),9
2200 Hamilton Place Blvd,Chattanooga,TN,37421,10/10/2023 11:35:00 AM,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,23-110147,2,Cleared by Arrest,35.038148,-85.154973,POINT (-85.154973 35.038148),4
1100 E 10th St,Chattanooga,TN,37403,10/10/2023 11:00:00 AM,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110202,3,Pending/Possible Leads,35.037648999999995,-85.29300500000001,POINT (-85.293005 35.037649),8
700 Signal Mountain Rd,Chattanooga,TN,37405,10/10/2023 11:00:00 AM,TN0330100,A5,Adam N,23H,All Other Larceny,Part 1 Crimes,23-110133,3,Pending/Possible Leads,35.099139,-85.328322,POINT (-85.328322 35.099139),1
200 Oliver St,Chattanooga,TN,37405,10/10/2023 11:00:00 AM,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110150,3,Pending/Possible Leads,35.064381000000004,-85.30531,POINT (-85.30531 35.064381),2
1500 Kippy Dr,Chattanooga,TN,37421,10/09/2023 10:08:00 PM,TN0330100,C8,Charlie N,23H,All Other Larceny,Part 1 Crimes,23-110024,3,Pending/Possible Leads,35.020613,-85.170597,POINT (-85.170597 35.020613),4
4400 Amnicola Hwy,Chattanooga,TN,37406,10/09/2023 09:30:00 PM,TN0330100,B1,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,23-110114,4,Inactive/Suspended,35.095954,-85.23986500000001,POINT (-85.239865 35.095954),8
400 Greenway View Dr,Chattanooga,TN,37411,10/09/2023 09:20:00 PM,TN0330100,C3,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-110011,2,Cleared by Arrest,35.008735,-85.204425,POINT (-85.204425 35.008735),6
1500 Hickory Valley Rd,Chattanooga,TN,37421,10/09/2023 08:15:00 PM,TN0330100,C4,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,23-109994,3,Pending/Possible Leads,35.023514999999996,-85.18205,POINT (-85.18205 35.023515),6
3600 Hixson Pike,Chattanooga,TN,37415,10/09/2023 08:00:00 PM,TN0330100,A3,Adam N,23D,Theft From Buildings,Part 1 Crimes,23-110095,3,Pending/Possible Leads,35.106654,-85.27073,POINT (-85.27073 35.106654),2
