Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
700 BROWNS FERRY RD,Chattanooga,TN,37419-,1/1/2016 1:00,TN0330100,A13,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000066,2,Cleared by Arrest,35.04490199,,-85.35499468,POINT (-85.354994679007 35.04490198771201),1
1100 Arlington AVE,Chattanooga,TN,37406,1/1/2016 6:30,TN0330100,B3,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000137,3,Pending/Possible Leads,35.04802998,,-85.26096931,POINT (-85.260969313488 35.04802998165),8
200 WATER ST,Chattanooga,TN,37410-,1/1/2016 11:00,TN0330100,A13,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000168,3,Pending/Possible Leads,35.00663721,,-85.31327844,POINT (-85.313278435932 35.00663720728),7
900 E 3RD ST,Chattanooga,TN,37402-,1/1/2016 12:00,TN0330100,A8,Adam S,26C,Impersonation,Part 1 Crimes,16-036288,3,Pending/Possible Leads,35.04801023,,-85.29146232,POINT (-85.291462320858 35.048010228264),8
E 11TH ST.,Chattanooga,TN,37402-,1/1/2016 14:39,TN0330100,A9,Adam S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-000202,3,Pending/Possible Leads,35.04356193,,-85.30836574,POINT (-85.308365740112 35.043561925689),8
1900 Market ST,Chattanooga,TN,37408,1/1/2016 14:40,TN0330100,A10,Adam S,23C,Shoplifting,Part 1 Crimes,16-000212,2,Cleared by Arrest,35.032544,SS Cowart,-85.308817,POINT (-85.308817 35.032544),7
6100 Shallowford Road,Chattanooga,TN,37421-,1/1/2016 15:00,TN0330100,C6,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,16-051376,3,Pending/Possible Leads,35.05325036,,-85.18165811,POINT (-85.181658108257 35.053250359551),6
600 McCallie AVE,Chattanooga,TN,37403-,1/1/2016 15:00,TN0330100,A8,Adam S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-020951,3,Pending/Possible Leads,35.04671765,,-85.30034498,POINT (-85.300344976712 35.046717647432),8
5000 Harley Lane.,Chattanooga,TN,37416-,1/1/2016 15:30,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000217,3,Pending/Possible Leads,35.09655527,,-85.17783887,POINT (-85.177838865544 35.09655527411),3
400 GREENWAY VIEW DR,chattanooga,TN,37411,1/1/2016 18:45,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-000284,2,Cleared by Arrest,35.00744507,,-85.20570678,POINT (-85.205706782877 35.007445072542),6
2000 S WILLOW ST.,Chattanooga,TN,37404-,1/1/2016 18:45,TN0330100,B6,Baker S,23C,Shoplifting,Part 1 Crimes,16-000268,3,Pending/Possible Leads,35.01863609,,-85.28020296,POINT (-85.28020296421 35.01863608739),8
2200 E. 23rd St.,Chattanooga,TN,37407-,1/1/2016 19:30,TN0330100,B7,Baker S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-000296,2,Cleared by Arrest,35.01685889,,-85.28012983,POINT (-85.280129825643 35.016858892253),8
7700 SHALLOWFORD RD.,Chattanooga,TN,37421-,1/1/2016 19:32,TN0330100,C9,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000279,3,Pending/Possible Leads,35.03549153,,-85.1380696,POINT (-85.138069602389 35.035491533993),4
7700 SHALLOWFORD RD.,Chattanooga,TN,37421-,1/1/2016 19:32,TN0330100,C9,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,16-000279,3,Pending/Possible Leads,35.03549153,,-85.1380696,POINT (-85.138069602389 35.035491533993),4
900 GRAYSVILLE RD,Chattanooga,TN,37421-,1/2/2016 1:37,TN0330100,C8,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-000497,3,Pending/Possible Leads,34.9979973,,-85.14789461,POINT (-85.14789461368 34.997997299777),4
1300 HICKORY VALLEY RD.,Chattanooga,TN,37421-,1/2/2016 2:02,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,16-000355,I,Closed,35.01871767,,-85.18121526,POINT (-85.181215264992 35.018717669543),6
4000 SHALLOWFORD RD,CHATTANOOGA,TN,37411,1/2/2016 2:28,TN0330100,C4,Charlie S,23D,Theft From Buildings,Part 1 Crimes,16-000455A,3,Pending/Possible Leads,35.04291369,,-85.22104622,POINT (-85.221046221939 35.042913692167),5
4000 SHALLOWFORD RD,Chattanooga,TN,37411-,1/2/2016 2:28,TN0330100,C3,Charlie S,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,16-000455,3,Pending/Possible Leads,35.04204869,,-85.22219822,POINT (-85.222198221939 35.042048692167),5
400 GREENWAY VIEW DR,Chattanooga,TN,37411-,1/2/2016 10:50,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,16-000426,2,Cleared by Arrest,35.00707607,,-85.20635678,POINT (-85.206356782877 35.007076072542),6
