"State","Year","Category","Population","PopulationChange","AdjustedRate","AdjustedRateRaw"
"AS","2016","Data Breach",177746,NA,0,"0"
"AS","2016","Personal Data Breach",177746,NA,6,"6"
"AS","2016","Malware",177746,NA,0,"0"
"AS","2016","Phishing",177746,NA,3,"3"
"AS","2016","Ransomware",177746,NA,0,"0"
"AS","2016","Crimes Against Children",177746,NA,0,"0"
"AS","2016","Extortion",177746,NA,6,"6"
"AS","2016","Threats/Stalking/Harassment/Terrorism",177746,NA,10,"10"
"AS","2016","IPR/Counterfeit",177746,NA,0,"0"
"AS","2016","Identity Theft",177746,NA,0,"0"
"AS","2016","BEC",177746,NA,0,"0"
"AS","2017","Data Breach",179530,1784,0,"0"
"AS","2017","Personal Data Breach",179530,1784,3,"3"
"AS","2017","Malware",179530,1784,0,"0"
"AS","2017","Phishing",179530,1784,3,"3"
"AS","2017","Ransomware",179530,1784,0,"0"
"AS","2017","Crimes Against Children",179530,1784,0,"0"
"AS","2017","Extortion",179530,1784,3,"3"
"AS","2017","Threats/Stalking/Harassment/Terrorism",179530,1784,10,"10"
"AS","2017","IPR/Counterfeit",179530,1784,0,"0"
"AS","2017","Identity Theft",179530,1784,0,"0"
"AS","2017","BEC",179530,1784,0,"0"
"AS","2018","Data Breach",181918,2388,0,"0"
"AS","2018","Personal Data Breach",181918,2388,0,"0"
"AS","2018","Malware",181918,2388,3,"3"
"AS","2018","Phishing",181918,2388,0,"0"
"AS","2018","Ransomware",181918,2388,0,"0"
"AS","2018","Crimes Against Children",181918,2388,0,"0"
"AS","2018","Extortion",181918,2388,3,"3"
"AS","2018","Threats/Stalking/Harassment/Terrorism",181918,2388,3,"3"
"AS","2018","IPR/Counterfeit",181918,2388,0,"0"
"AS","2018","Identity Theft",181918,2388,0,"0"
"AS","2018","BEC",181918,2388,0,"0"
"AS","2019","Data Breach",182799,881,0,"0"
"AS","2019","Personal Data Breach",182799,881,7,"7"
"AS","2019","Malware",182799,881,0,"0"
"AS","2019","Phishing",182799,881,3,"3"
"AS","2019","Ransomware",182799,881,0,"0"
"AS","2019","Crimes Against Children",182799,881,0,"0"
"AS","2019","Extortion",182799,881,7,"7"
"AS","2019","Threats/Stalking/Harassment/Terrorism",182799,881,3,"3"
"AS","2019","IPR/Counterfeit",182799,881,0,"0"
"AS","2019","Identity Theft",182799,881,3,"3"
"AS","2019","BEC",182799,881,0,"0"
"AS","2020","Data Breach",181560,-1239,3,"3"
"AS","2020","Personal Data Breach",181560,-1239,3,"3"
"AS","2020","Malware",181560,-1239,0,"0"
"AS","2020","Phishing",181560,-1239,3,"3"
"AS","2020","Ransomware",181560,-1239,0,"0"
"AS","2020","Crimes Against Children",181560,-1239,0,"0"
"AS","2020","Extortion",181560,-1239,7,"7"
"AS","2020","Threats/Stalking/Harassment/Terrorism",181560,-1239,7,"7"
"AS","2020","IPR/Counterfeit",181560,-1239,0,"0"
"AS","2020","Identity Theft",181560,-1239,3,"3"
"AS","2020","BEC",181560,-1239,18,"18"
"AS","2021","Data Breach",181163,-397,0,"0"
"AS","2021","Personal Data Breach",181163,-397,7,"7"
"AS","2021","Malware",181163,-397,3,"3"
"AS","2021","Phishing",181163,-397,3,"3"
"AS","2021","Ransomware",181163,-397,0,"0"
"AS","2021","Crimes Against Children",181163,-397,0,"0"
"AS","2021","Extortion",181163,-397,0,"0"
"AS","2021","Threats/Stalking/Harassment/Terrorism",181163,-397,0,"0"
"AS","2021","IPR/Counterfeit",181163,-397,3,"3"
"AS","2021","Identity Theft",181163,-397,0,"0"
"AS","2021","BEC",181163,-397,3,"3"
"AS","2022","Data Breach",184086,2923,0,"0"
"AS","2022","Personal Data Breach",184086,2923,11,"11"
"AS","2022","Malware",184086,2923,0,"0"
