"State","Year","Population","PopulationChange","Crimes","Data Breach","Personal Data Breach","Malware","Phishing","Ransomware","Crimes Against Children","Extortion","Threats/Stalking/Harassment/Terrorism","IPR/Counterfeit","Identity Theft","BEC"
"AS",2016,177746,NA,NA,"0","6","0","3","0","0","6","10","0","0","0"
"AS",2017,179530,1784,NA,"0","3","0","3","0","0","3","10","0","0","0"
"AS",2018,181918,2388,NA,"0","0","3","0","0","0","3","3","0","0","0"
"AS",2019,182799,881,NA,"0","7","0","3","0","0","7","3","0","3","0"
"AS",2020,181560,-1239,NA,"3","3","0","3","0","0","7","7","0","3","18"
"AS",2021,181163,-397,NA,"0","7","3","3","0","0","0","0","3","0","3"
"AS",2022,184086,2923,NA,"0","11","0","3","0","11","7","18","0","7","7"
"TN",2016,177746,NA,NA,"1","11","1","7","1","0","9","7","1","7","4"
"TN",2017,179530,1784,NA,"1","1","1","9","0","0","7","6","1","8","4"
"TN",2018,181918,2388,NA,"0","18","0","8","0","0","20","7","0","10","7"
"TN",2019,182799,881,NA,"0","13","1","8","0","0","19","5","1","7","8"
"TN",2020,181560,-1239,NA,"0","18","0","9","0","1","31","6","1","10","6"
"TN",2021,181163,-397,NA,"0","19","0","11","1","0","0","4","1","13","8"
"TN",2022,184086,2923,NA,"1","23","0","7","0","1","18","0","0","14","10"
"CA",2016,177746,NA,NA,"2","18","1","9","1","0","10",NA,"1","10","9"
"CA",2017,179530,1784,NA,"2","2","1","14","1","0","9","11","1","11","11"
"CA",2018,181918,2388,NA,"1","36","1","12","0","0","37","12","1","9","13"
"CA",2019,182799,881,NA,"0","24","1","12","1","0","30","10","1","8","16"
"CA",2020,181560,-1239,NA,"1","29","0","15","1","1","50","13","2","15","13"
"CA",2021,181163,-397,NA,"0","33","0","13","2","1","0","8","2","17","13"
"CA",2022,184086,2923,NA,"1","38","0","9","1","1","22","1","1","13","15"
