"contrast","Category","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"TN vs AS","Data Breach",-4.02455846426619e-16,2.57472965802166,191.000064874596,-5.07855637337592,5.07855637337592,-1.5630994313238e-16,1
"TN vs CA","Data Breach",-0.57142857142857,2.57472965802166,191.000064874596,-5.64998494480449,4.50712780194735,-0.221937308893096,0.824599805236526
"TN vs AS","Personal Data Breach",9.42857142857143,2.57472965802166,191.000064874596,4.35001505519551,14.5071278019474,3.6619655967361,0.000323965841857693
"TN vs CA","Personal Data Breach",-11,2.57472965802166,191.000064874596,-16.0785563733759,-5.92144362662408,-4.27229319619211,3.04905103165345e-05
"TN vs AS","Malware",-0.428571428571428,2.57472965802166,191.000064874596,-5.50712780194735,4.64998494480449,-0.166452981669822,0.867976557681317
"TN vs CA","Malware",-0.142857142857143,2.57472965802166,191.000064874596,-5.22141351623306,4.93569923051878,-0.0554843272232742,0.955810611580994
"TN vs AS","Phishing",5.85714285714286,2.57472965802166,191.000064874596,0.778586483766936,10.9356992305188,2.27485741615424,0.0240254782798515
"TN vs CA","Phishing",-3.57142857142857,2.57472965802166,191.000064874596,-8.64998494480449,1.50712780194735,-1.38710818058185,0.167025296510253
"TN vs AS","Ransomware",0.285714285714286,2.57472965802166,191.000064874596,-4.79284208766163,5.3642706590902,0.110968654446548,0.91175772307646
"TN vs CA","Ransomware",-0.714285714285713,2.57472965802166,191.000064874596,-5.79284208766163,4.36427065909021,-0.277421636116371,0.781756405318626
"TN vs AS","Crimes Against Children",-1.28571428571429,2.57472965802166,191.000064874596,-6.36427065909021,3.79284208766163,-0.499358945009468,0.618101242455296
"TN vs CA","Crimes Against Children",-0.142857142857141,2.57472965802166,191.000064874596,-5.22141351623306,4.93569923051878,-0.0554843272232736,0.955810611580995
"TN vs AS","Extortion",10.1428571428571,2.57472965802166,191.000064874596,5.06430076948122,15.2214135162331,3.93938723285247,0.000114464264433375
"TN vs CA","Extortion",-7.71428571428571,2.57472965802166,191.000064874596,-12.7928420876616,-2.63572934090979,-2.99615367005681,0.00309683652794906
"TN vs AS","Threats/Stalking/Harassment/Terrorism",-2.28571428571429,2.57472965802166,191.000064874596,-7.36427065909021,2.79284208766163,-0.887749235572388,0.375792193204612
"TN vs CA","Threats/Stalking/Harassment/Terrorism",-4.00043405369855,2.68278100804664,191.261977039227,-9.29207140611926,1.29120329872216,-1.49115192097297,0.137569042996437
"TN vs AS","IPR/Counterfeit",0.285714285714285,2.57472965802166,191.000064874596,-4.79284208766163,5.3642706590902,0.110968654446548,0.91175772307646
"TN vs CA","IPR/Counterfeit",-0.571428571428571,2.57472965802166,191.000064874596,-5.64998494480449,4.50712780194735,-0.221937308893096,0.824599805236526
"TN vs AS","Identity Theft",8,2.57472965802166,191.000064874596,2.92144362662408,13.0785563733759,3.10712232450335,0.00217741684309776
"TN vs CA","Identity Theft",-2,2.57472965802166,191.000064874596,-7.07855637337592,3.07855637337592,-0.776780581125839,0.438249164023686
"TN vs AS","BEC",2.71428571428571,2.57472965802166,191.000064874596,-2.36427065909021,7.79284208766163,1.05420221724221,0.293122075449908
"TN vs CA","BEC",-6.14285714285714,2.57472965802166,191.000064874593,-11.2214135162331,-1.06430076948122,-2.38582607060079,0.0180183135911358
